Container_Write_Time,Process_Write_Time,VM_Write_Time,cCpuTime,cCpuTimeKernelMode,cCpuTimeUserMode,cDiskReadBytes,cDiskSectorIO,cDiskWriteBytes,cId,cMajorPGFault,cMemoryMaxUsed,cMemoryUsed,cNetworkBytesRecvd,cNetworkBytesSent,cNumProcesses,cNumProcessors,cPGFault,currentTime,pMetricType,vBootTime,vCpuContextSwitches,vCpuIdleTime,vCpuMhz,vCpuNice,vCpuSteal,vCpuTime,vCpuTimeIOWait,vCpuTimeIntSrvc,vCpuTimeKernelMode,vCpuTimeSoftIntSrvc,vCpuTimeUserMode,vCpuType,vDiskMergedReads,vDiskMergedWrites,vDiskReadTime,vDiskSectorReads,vDiskSectorWrites,vDiskSuccessfulReads,vDiskSuccessfulWrites,vDiskWriteTime,vId,vKernelInfo,vLoadAvg,vMajorPageFault,vMemoryBuffers,vMemoryCached,vMemoryFree,vMemoryTotal,vMetricType,vNetworkBytesRecvd,vNetworkBytesSent,vPgFault
0.013399,0.002506,0.17613,127922360,11,45,0,0,0,"8c030dff71f7",0,0,417792,0,0,0,0,6468,1,"Process level",0,665900,942,-47.541125,0,0,53,0,0,11,2,42,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.42,0,0,-2834,-574,0,"VM Level",0,0,7486
0.017944,0.002515,0.183838,125714989,9,27,0,0,0,"8c030dff71f7",0,0,-90112,0,0,0,0,6501,2,"Process level",0,444000,969,-50.809875,0,0,41,1,0,9,2,32,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.42,0,0,2986,-196,0,"VM Level",0,0,6653
0.013099,0.002512,0.178133,121525413,10,54,0,0,0,"8c030dff71f7",0,0,-266240,0,0,0,0,6435,1,"Process level",0,428700,938,91.5887500000001,0,0,60,0,0,11,6,50,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.42,0,0,10420,-10072,0,"VM Level",0,0,6967
0.016552,0.003957,0.179703,140259723,13,56,0,0,0,"8c030dff71f7",0,0,-20480,0,0,0,0,6468,1,"Process level",0,481000,940,-255.3143750000002,0,0,71.9999999999,0,0,12,3,58,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,7,0,0,72,0,2,5,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.39,0,8,2781,-4584,0,"VM Level",0,0,7231
0.04014,0.004408,0.189763,157841424,11,33,0,0,0,"8c030dff71f7",0,0,180224,0,0,0,0,6468,1,"Process level",0,422800,987,199.26125,0,0,41,0,0,9,3,32,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.39,0,0,-10354,8942,0,"VM Level",0,0,6619
0.012627,0.002438,0.177458,118120470,8,25,0,0,0,"8c030dff71f7",0,0,-212992,0,0,0,0,6501,2,"Process level",0,492900,961,24.3000000000002,0,0,37,0,0,11,2,25.00000000006,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.39,0,0,598,1851,0,"VM Level",0,0,6570
0.013209,0.002568,0.178384,118923271,9,47,0,0,0,"8c030dff71f7",0,0,307200,0,0,0,0,6402,1,"Process level",0,531000,950,33.8252499999999,0,0,50,0,0,7,3,44.99999999994,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.39,0,0,-2737,672,0,"VM Level",0,0,7193
0.017031,0.002558,0.181916,154525581,13,115,0,0,0,"8c030dff71f7",0,0,49152,0,0,0,0,6534,1,"Process level",0,775300,893,697.9640000000002,0,0,125,2,0,14,10,110,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,37,0,16,1648,2,11,17,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.44,0,37,73733,-95261,0,"VM Level",0,0,15991
0.036627,0.003437,0.182694,161223305,13,60,0,0,0,"8c030dff71f7",0,0,-233472,0,0,0,0,6435,2,"Process level",0,389600,947,-725.154125,0,0,73,0,0,11,5,63.99999999994,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.44,0,0,-33805,32908,0,"VM Level",0,0,6834
0.038388,0.003913,0.186682,151188064,16,51,0,0,0,"8c030dff71f7",0,0,172032,0,0,0,0,6468,1,"Process level",0,460600,954,-40.7033749999998,0,0,77,0,0,19,9,58.00000000006,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.44,0,0,680,-2876,0,"VM Level",0,0,7086
0.01525,0.002986,0.170841,123058054,5,21,0,0,0,"8c030dff71f7",0,0,352256,0,0,0,0,6468,1,"Process level",0,103500,981,-14.460375,0,0,25.0000000001,0,0,4,3,21.00000000006,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,38,0,0,1208,0,81,12,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.44,0,0,-25227,24715,0,"VM Level",0,0,6499
0.013256,0.002854,0.177165,120480209,8,28,0,0,0,"8c030dff71f7",0,0,-122880,0,0,0,0,6468,1,"Process level",0,141300,971,36.9355,0,0,35.0000000001,0,0,8,2,27.00000000006,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,2,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.4,0,0,14324,-12251,0,"VM Level",0,0,6682
0.013298,0.002842,0.177692,109236256,5,17,0,0,0,"8c030dff71f7",0,0,-94208,0,0,0,0,6468,2,"Process level",0,98700,986,71.762125,0,0,24,1,0,6,1,18,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,22,0,0,192,0,0,5,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.4,0,8,-209,-1831,0,"VM Level",0,0,7108
0.015721,0.002857,0.170318,123448258,7,19,0,0,0,"8c030dff71f7",0,0,73728,0,0,0,0,6468,1,"Process level",0,115100,979,-84.66925,0,0,24,0,0,6,0,17,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.4,0,0,-13177,13558,0,"VM Level",0,0,7370
0.013328,0.002983,0.178877,111155117,3,16,0,0,0,"8c030dff71f7",0,0,-12288,0,0,0,0,6435,1,"Process level",0,84600,991,-63.2661249999999,0,0,20,0,0,4,2,17.99999999994,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,10,0,16,3576,2,54,11,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.4,0,8,-385,852,0,"VM Level",0,0,6546
0.015529,0.00251,0.170074,107831266,7,21,0,0,0,"8c030dff71f7",0,0,16384,0,0,0,0,6402,1,"Process level",0,138900,976,250.7397499999997,0,0,26,1,0,6,1,20.00000000006,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,32,0,0,352,0,11,13,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.37,0,17,16,782,0,"VM Level",0,0,7389
0.019512,0.003539,0.166906,136073366,6,24,0,0,0,"8c030dff71f7",0,0,20480,0,0,0,0,6435,2,"Process level",0,148200,980,-132.4421250000003,0,0,33,0,0,8,2,25,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.37,0,0,16487,-17281,0,"VM Level",0,0,6694
0.013262,0.002536,0.177629,119261475,4,17,0,0,0,"8c030dff71f7",0,0,155648,0,0,0,0,6501,1,"Process level",0,99500,985,-8.1743749999998,0,0,21,0,0,4,3,17,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.37,0,0,32,2515,0,"VM Level",0,0,6852
0.012988,0.002542,0.175552,106364908,11,47,0,0,0,"8c030dff71f7",0,0,4096,0,0,0,0,6435,1,"Process level",0,230200,961,48.40875,0,0,44.9999999999,0,0,8,3,36.99999999994,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,1,0,0,136,0,12,2,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.37,0,0,11199,-13193,0,"VM Level",0,0,7773
0.014214,0.002619,0.168868,111526694,11,37,0,0,0,"8c030dff71f7",0,0,40960,0,0,0,0,6501,1,"Process level",0,430300,935,-22.07125,0,0,62,0,0,14,4,48,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,2,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.42,0,0,299,-4387,0,"VM Level",0,0,7927
0.018188,0.003964,0.171202,152939658,16,50,0,0,0,"8c030dff71f7",0,0,49152,0,0,0,0,6468,2,"Process level",0,377800,958,-40.8163749999999,0,0,64,1,0,14,3,50.00000000006,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,17,0,0,152,0,0,4,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.42,0,8,-23126,24683,0,"VM Level",0,0,6644
0.013209,0.00263,0.177363,134002273,8,27,0,0,0,"8c030dff71f7",0,0,237568,0,0,0,0,6435,1,"Process level",0,173300,979,-19.39575,0,0,32,0,0,7,3,25.00000000006,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.42,0,0,21504,-21467,0,"VM Level",0,0,6986
0.041782,0.008547,0.183112,186776694,8,41,0,0,0,"8c030dff71f7",0,0,-344064,0,0,0,0,6468,1,"Process level",0,246800,1012,157.695125,0,0,55,0,0,11,5,44.00000000006,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,19,0,0,1608,0,121,11,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.42,0,0,-1270,217,0,"VM Level",0,0,7210
0.014274,0.002618,0.172034,122523125,5,19,0,0,0,"8c030dff71f7",0,0,360448,0,0,0,0,6468,2,"Process level",0,113200,983,-61.8252499999999,0,0,22,1,0,4,1,18,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,32,0,0,432,0,16,13,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.39,0,16,37,2986,0,"VM Level",0,0,6851
0.013185,0.002553,0.179003,128130609,9,32,0,0,0,"8c030dff71f7",0,0,-335872,214,0,0,0,6501,1,"Process level",0,188500,973,-114.047125,0,0,32.0000000001,1,0,5,0,27,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.39,0,0,-13533,12804,0,"VM Level",214,0,6703
0.044208,0.004897,0.186261,176824658,17,47,0,0,0,"8c030dff71f7",0,0,323584,214,0,0,0,6402,1,"Process level",0,380200,965,-353.4944999999998,0,0,72,0,0,20,6,52,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.39,0,0,15884,-16888,0,"VM Level",214,0,7789
0.042628,0.009156,0.184065,162715393,17,60,0,0,0,"8c030dff71f7",0,0,-126976,214,0,0,0,6435,1,"Process level",0,501500,966,1669.528875,0,0,70,1,0,17,7,53,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,32,0,0,1880,0,42,12,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.39,0,8,-17125,40215,0,"VM Level",214,0,7316
0.014241,0.002569,0.173538,149869264,8,62,0,0,0,"8c030dff71f7",0,0,-172032,214,0,0,0,6534,2,"Process level",0,981400,947,-1157.1045,0,0,73,0,0,9,11,64,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.35,0,0,9916,-7754,0,"VM Level",214,0,6776
0.03597,0.0052,0.1855,153580052,16,53,0,0,0,"8c030dff71f7",0,0,69632,0,0,0,0,6468,1,"Process level",0,810400,962,305.656375,0,0,72.9999999999,0,0,15,12,57.99999999994,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,0,0,0,0,0,0,0,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.35,0,0,-22303,20394,0,"VM Level",0,0,7153
0.013248,0.002556,0.177569,135713327,16,98,0,0,0,"8c030dff71f7",0,0,69632,0,0,0,0,6468,1,"Process level",0,609500,895,-311.845,0,0,115,0,0,17,22,97,"Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz",0,25,0,256,1432,1,3,5,"unavailable","Linux 8c030dff71f7 5.4.0-81-generic #91-Ubuntu SMP Thu Jul 15 19:09:17 UTC 2021 x86_64 x86_64 x86_64 GNU/Linux",0.35,1,9,68916,-89174,0,"VM Level",0,0,15886
